NXPI	2018-11-05	2099-12-31
ORLY	2008-12-22	2099-12-31
PCAR	2003-01-02	2099-12-31
PAYX	2003-01-02	2099-12-31
PYPL	2015-11-11	2099-12-31
PEP	2018-07-23	2099-12-31
PDD	2020-08-24	2099-12-31
QCOM	2003-01-02	2099-12-31
REGN	2012-12-24	2099-12-31
ROST	2008-12-22	2099-12-31
SGEN	2019-12-23	2099-12-31
SIRI	2011-07-15	2099-12-31
SWKS	2015-08-03	2099-12-31
SPLK	2019-12-23	2099-12-31
SBUX	2003-01-02	2099-12-31
SNPS	2017-12-18	2099-12-31
TMUS	2015-12-21	2099-12-31
TTWO	2017-12-18	2099-12-31
TSLA	2013-07-15	2099-12-31
TXN	2012-04-23	2099-12-31
TCOM	2019-11-05	2099-12-31
ULTA	2015-12-21	2099-12-31
VRSN	2018-12-24	2099-12-31
VRSK	2012-12-24	2099-12-31
VRTX	2006-12-18	2099-12-31
WBA	2015-03-23	2099-12-31
WDAY	2017-12-18	2099-12-31
XEL	2018-11-19	2099-12-31
XLNX	2003-01-02	2099-12-31
ZM	2020-04-30	2099-12-31
WDC	2012-12-24	2020-10-16
NTAP	2018-12-24	2020-08-21
CSGP	2019-12-23	2020-07-17
UAL	2018-12-24	2020-06-17
WLTW	2018-12-24	2020-04-29
AAL	2014-12-22	2020-04-17
HAS	2016-12-19	2019-12-20
JBHT	2017-02-07	2019-12-20
WYNN	2017-04-24	2019-12-20
NLOK	2019-11-05	2019-12-20
MYL	2009-12-21	2019-12-20
HSIC	2007-10-02	2019-12-20
CELG	2005-07-05	2019-11-20
SYMC	2003-01-02	2019-11-04
CTRP	2015-12-21	2019-11-04
TFCFA	2003-01-02	2019-03-19
TFCF	2003-01-02	2019-03-19
VOD	2009-12-21	2018-12-21
QRTEA	2018-03-12	2018-12-21
HOLX	2016-12-19	2018-12-21
SHPG	2016-10-19	2018-12-21
STX	2008-11-10	2018-12-21
ESRX	2003-01-02	2018-12-20
XRAY	2016-06-20	2018-11-16
CA	2008-05-19	2018-11-02
DISH	2013-12-23	2018-07-20
LVNTA	2014-10-15	2018-03-09
QVCA	2014-10-07	2018-03-09
PCLN	2009-10-29	2018-02-26
LILA	2016-12-19	2017-12-29
LILAK	2016-12-19	2017-12-29
AKAM	2010-12-20	2017-12-15
DISCA	2012-12-24	2017-12-15
VIAB	2012-05-30	2017-12-15
TSCO	2013-12-23	2017-12-15
NCLH	2015-12-21	2017-12-15
DISCK	2014-08-07	2017-12-15
MAT	2009-12-21	2017-10-20
YHOO	2003-01-02	2017-06-16
TRIP	2013-12-23	2017-04-21
SBAC	2012-12-24	2017-03-17
NXPI	2013-12-23	2017-02-06
WFM	2011-05-06	2016-12-16
NTAP	2003-01-02	2016-12-16
BBBY	2003-01-02	2016-12-16
SRCL	2007-12-24	2016-12-16
LEXEA	2016-11-07	2016-11-07
LLTC	2003-01-02	2016-10-18
ENDP	2015-12-21	2016-07-15
BATRA	2016-04-18	2016-06-17
LMCA	2013-06-05	2016-06-17
BATRK	2016-04-18	2016-06-17
LMCK	2014-07-24	2016-06-17
LSXMA	2016-04-18	2016-04-18
LSXMK	2016-04-18	2016-04-18
SNDK	2009-12-21	2016-03-15
KLAC	2003-01-02	2016-02-19
GMCR	2013-08-22	2015-12-18
GRMN	2003-12-22	2015-12-18
LILA	2015-07-02	2015-12-18
CHRW	2005-11-14	2015-12-18
SPLS	2003-01-02	2015-12-18
WYNN	2004-12-20	2015-12-18
LILAK	2015-07-02	2015-12-18
EXPD	2003-01-02	2015-12-18
VIP	2013-10-29	2015-12-18
CMCSK	2014-12-22	2015-12-11
BRCM	2003-01-02	2015-11-10
ALTR	2003-01-02	2015-10-06
SIAL	2003-01-02	2015-07-31
DTV	2008-04-30	2015-07-24
CTRX	2012-12-24	2015-07-23
KRFT	2013-03-18	2015-07-02
EQIX	2012-12-24	2015-03-20
EXPE	2005-12-19	2014-12-19
FFIV	2010-12-20	2014-12-19
MXIM	2008-12-22	2014-12-19
LINTA	2006-10-24	2014-10-06
MCHP	2003-01-02	2013-12-20
XRAY	2003-01-02	2013-12-20
FOSL	2011-12-19	2013-12-20
NUAN	2011-12-19	2013-12-20
SHLD	2005-03-28	2013-12-20
GOLD	2011-12-19	2013-11-15
DELL	2003-01-02	2013-10-28
LIFE	2008-12-22	2013-08-21
BMC	2009-12-21	2013-07-24
ORCL	2003-01-02	2013-07-12
NWSA	2009-01-20	2013-06-28
PRGO	2011-12-06	2013-06-05
VMED	2009-12-21	2013-06-04
STRZA	2013-01-14	2013-03-15
LMCA	2012-12-24	2013-01-11
NFLX	2010-12-20	2012-12-21
MRVL	2003-12-22	2012-12-21
LRCX	2003-12-22	2012-12-21
APOL	2003-01-02	2012-12-21
RIMM	2003-12-22	2012-12-21
GMCR	2011-05-27	2012-12-21
EA	2011-12-20	2012-12-21
VRSN	2003-01-02	2012-12-21
FLEX	2003-01-02	2012-12-21
WCRX	2008-12-22	2012-12-21
INFY	2006-12-18	2012-12-11
KFT	2012-07-23	2012-10-01
CTRP	2010-12-20	2012-07-20
TEVA	2003-01-02	2012-05-29
FSLR	2008-12-22	2012-04-20
HANS	2011-12-19	2012-01-06
ERTS	2003-01-02	2011-12-19
ILMN	2008-12-22	2011-12-16
QGEN	2009-12-21	2011-12-16
NIHD	2005-12-19	2011-12-16
FLIR	2008-07-21	2011-12-16
URBN	2008-12-22	2011-12-16
JOYG	2006-01-04	2011-12-05
CEPH	2007-06-01	2011-07-14
MICC	2006-05-08	2011-05-26
WFMI	2010-12-20	2011-05-05
GENZ	2003-01-02	2011-04-01
FWLT	2007-07-12	2010-12-17
DISH	2003-01-02	2010-12-17
PDCO	2003-01-02	2010-12-17
HOLX	2007-12-24	2010-12-17
JBHT	2008-12-22	2010-12-17
LOGI	2007-02-01	2010-12-17
CTAS	2003-01-02	2010-12-17
LBTYA	2004-12-20	2009-12-18
AKAM	2006-04-20	2009-12-18
HANS	2007-12-24	2009-12-18
STLD	2007-12-24	2009-12-18
IACI	2008-09-19	2009-12-18
RYAAY	2007-02-14	2009-12-18
PPDI	2008-12-22	2009-12-18
JNPR	2003-01-02	2009-10-28
JAVA	2007-12-11	2009-07-16
FMCN	2007-12-24	2009-01-16
PETM	2003-01-02	2008-12-19
LVLT	2006-12-18	2008-12-19
CDNS	2005-12-19	2008-12-19
SNDK	2003-11-13	2008-12-19
VMED	2007-02-08	2008-12-19
DISCA	2008-10-16	2008-12-19
WFMI	2003-01-02	2008-12-19
LEAP	2007-10-08	2008-12-19
SIRI	2004-12-20	2008-12-19
LAMR	2003-01-02	2008-12-19
AMLN	2006-01-09	2008-12-19
MNST	2005-12-19	2008-11-07
DISAD	2008-09-18	2008-10-15
IACID	2008-08-21	2008-09-18
DISCA	2005-12-19	2008-09-17
IACI	2005-09-07	2008-08-20
ATVID	2008-07-10	2008-08-06
UAUA	2007-03-08	2008-07-18
ATVI	2005-12-19	2008-07-09
TLAB	2003-01-02	2008-05-16
BEAS	2003-01-02	2008-04-29
PTEN	2005-12-19	2007-12-21
ROST	2003-01-02	2007-12-21
SEPR	2005-08-15	2007-12-21
XMSR	2004-12-20	2007-12-21
ERIC	2006-08-24	2007-12-21
JAVAD	2007-11-12	2007-12-10
CKFR	2005-12-19	2007-12-03
JAVA	2007-08-27	2007-11-09
CDWC	2003-01-02	2007-10-05
MXIM	2003-01-02	2007-10-01
SUNW	2003-01-02	2007-08-24
BMET	2003-01-02	2007-07-11
MEDI	2003-01-02	2007-05-31
AEOS	2006-12-12	2007-03-07
APCC	2003-01-02	2007-02-13
NTLI	2006-04-03	2007-02-07
CMVT	2003-01-02	2007-01-31
JDSU	2006-11-14	2006-12-15
URBN	2005-12-19	2006-12-15
LNCR	2003-01-02	2006-12-15
RHAT	2005-12-19	2006-12-11
JDSUD	2006-10-17	2006-11-13
ATYT	2003-12-22	2006-10-23
JDSU	2003-01-02	2006-10-16
ERICY	2004-12-20	2006-08-23
PIXR	2003-01-02	2006-05-05
CHIR	2003-01-02	2006-04-19
NTLID	2006-03-06	2006-03-31
NTLI	2004-12-20	2006-03-03
SEBL	2003-01-02	2006-01-31
MCIP	2004-12-20	2006-01-06
MERQE	2005-08-15	2006-01-03
IVGN	2003-01-02	2005-12-16
MLNM	2003-01-02	2005-12-16
DLTR	2003-01-02	2005-12-16
SANM	2003-01-02	2005-12-16
ISIL	2003-12-22	2005-12-16
MOLX	2005-03-24	2005-12-16
SSCC	2003-01-02	2005-12-16
SNPS	2003-01-02	2005-12-16
NVLS	2003-01-02	2005-12-16
CECO	2003-12-22	2005-12-16
QLGC	2003-01-02	2005-12-16
LVLT	2003-12-22	2005-12-16
CHRWD	2005-10-17	2005-11-11
CHRW	2003-01-02	2005-10-14
IACID	2005-08-09	2005-09-06
MERQ	2003-01-02	2005-08-12
NXTL	2003-01-02	2005-08-12
IACI	2003-06-23	2005-08-08
VRTS	2005-04-13	2005-07-01
VRTSE	2005-04-05	2005-04-12
VRTS	2004-06-16	2005-04-04
KMRT	2004-08-19	2005-03-24
MOLXE	2004-11-17	2005-03-23
PSFT	2003-01-02	2004-12-28
HSIC	2003-01-02	2004-12-17
PTEN	2003-01-02	2004-12-17
RYAAY	2003-01-02	2004-12-17
CEPH	2003-01-02	2004-12-17
FHCC	2003-01-02	2004-12-17
GNTX	2003-01-02	2004-12-17
NVDA	2003-01-02	2004-12-17
CPWR	2003-01-02	2004-12-17
MOLX	2003-01-02	2004-11-16
SPOT	2003-01-02	2004-08-18
VRTSE	2004-03-19	2004-06-15
VRTS	2003-01-02	2004-03-18
BRCD	2003-01-02	2003-12-19
MNST	2003-05-01	2003-12-19
ADCT	2003-01-02	2003-12-19
HGSI	2003-01-02	2003-12-19
RFMD	2003-01-02	2003-12-19
ICOS	2003-01-02	2003-12-19
ERICY	2003-01-02	2003-12-19
CIEN	2003-01-02	2003-12-19
BGEN	2003-01-02	2003-11-12
IDPH	2003-01-02	2003-11-12
USAI	2003-01-02	2003-06-20
TMPW	2003-01-02	2003-04-30
